batsman,runs,ball,innings,dismissals,hundreds,fifties,thirties,highest_score,AVG,debut_year,final_year,matches
Pradipta Pramanik,23,21,4,3,,,,11,7.666666667,2017/18,2021/22,4
Pradyun Saikia,21,14,1,0,,,,21,21,2021/22,2021/22,1
Pragnay Reddy,42,65,8,8,,,1,30,5.25,2020/21,2022/23,8
Pramod Chandila,206,183,13,11,,1,1,70,18.72727273,2015/16,2019/20,13
Pranav Gupta,22,39,1,1,,,,22,22,2017/18,2017/18,1
Pranshu Vijayran,42,32,5,3,,,1,34,14,2018/19,2022/23,5
Prashant Awasthi,67,55,6,4,,,,25,16.75,2018/19,2018/19,6
Prashant Gupta,408,339,11,12,,2,7,54,34,2015/16,2018/19,11
Prashant Veer,0,1,1,1,,,,0,0,2023/24,2023/24,1
Prasidh Krishna,1,5,1,1,,,,1,1,2020/21,2020/21,1
Pratham Singh,877,702,32,31,,7,5,89,28.29032258,2018/19,2023/24,32
Prathamesh Gawas,5,4,1,1,,,,5,5,2019/20,2019/20,1
Pratik Das,34,29,2,1,,,,20,34,2020/21,2021/22,2
Pratik Desai,66,54,4,4,,,,27,16.5,2020/21,2020/21,4
Pratik Salunke,13,10,2,1,,,,7,13,2018/19,2018/19,2
Pratik Sargade,0,1,1,1,,,,0,0,2018/19,2018/19,1
Pratyush Singh,53,86,14,11,,,,10,4.818181818,2017/18,2021/22,14
Praveen Deshetti,48,49,3,3,,,,25,16,2015/16,2015/16,3
Praveen Dubey,100,95,12,9,,,1,33,11.11111111,2017/18,2021/22,12
Prayas Ray Barman,23,16,4,3,,,,15,7.666666667,2018/19,2020/21,4
Prayash Singh,119,143,13,11,,,1,34,10.81818182,2015/16,2021/22,13
Premraj Rajavelu,11,27,2,2,,,,11,5.5,2020/21,2021/22,2
Prerak Mankad,665,478,28,20,,5,4,71,33.25,2015/16,2022/23,28
Pritam Debnath,3,7,2,2,,,,3,1.5,2017/18,2017/18,2
Pritam Nirala,8,22,4,4,,,,4,2,2018/19,2019/20,4
Prithvi Raj,3,1,1,0,,,,3,3,2018/19,2018/19,1
Priyank Panchal,978,772,35,37,,6,9,79,26.43243243,2015/16,2023/24,35
Priyansh Arya,193,131,6,6,,2,,81,32.16666667,2021/22,2023/24,6
Priyesh Patel,59,48,4,5,,,,24,11.8,2020/21,2022/23,4
Pulkit Narang,15,16,1,0,,,,15,15,2019/20,2019/20,1
Puneet Datey,21,13,4,3,,,,8,7,2015/16,2022/23,4
Puneet Kumar,0,1,1,1,,,,0,0,2020/21,2020/21,1
Puneet Malik,33,32,1,1,,,1,33,33,2018/19,2018/19,1
Punit Bisht,487,317,20,17,1,1,3,146,28.64705882,2018/19,2021/22,20
Qamran Iqbal,201,191,8,8,,,3,40,25.125,2020/21,2023/24,8
R Ashwin,54,49,6,4,,,,16,13.5,2018/19,2019/20,6
R Bhatia,200,206,10,9,,,3,42,22.22222222,2015/16,2018/19,10
R Bishnoi,326,278,21,17,,2,1,76,19.17647059,2015/16,2020/21,21
R Dhawan,13,15,4,2,,,,7,6.5,2022/23,2022/23,4
R Rohit,5,3,1,1,,,,5,5,2018/19,2018/19,1
R Sathish,20,9,2,2,,,,12,10,2015/16,2015/16,2
R Vinay Kumar,261,209,18,13,,,2,38,20.07692308,2015/16,2019/20,18
RA Patil,2,4,1,1,,,,2,2,2022/23,2022/23,1
RA Tripathi,717,589,29,25,,6,3,70,28.68,2015/16,2023/24,29
RB Bishnoi Jr,23,44,5,5,,,,19,4.6,2021/22,2023/24,5
RD Banik,45,72,5,5,,,,12,9,2015/16,2015/16,5
RG Hazarika,72,64,3,3,,,1,39,24,2022/23,2022/23,3
RG More,11,7,2,0,,,,9,5.5,2019/20,2020/21,2
RH Bhatt,116,109,10,8,,,1,40,14.5,2015/16,2017/18,10
RH Motwani,70,57,4,4,,,1,36,17.5,2015/16,2018/19,4
RL Jangid,235,212,19,14,,,1,34,16.78571429,2015/16,2018/19,19
RM Dagar,19,28,2,2,,,,10,9.5,2015/16,2015/16,2
RN Gurbani,14,27,4,4,,,,12,3.5,2015/16,2019/20,4
RP Sharma,309,248,21,12,,1,2,50,25.75,2015/16,2023/24,21
RP Singh,1,3,2,1,,,,1,1,2015/16,2015/16,2
RR Biswa,167,195,13,12,,,1,36,13.91666667,2018/19,2019/20,13
RR Pant,443,258,8,6,1,4,2,116,73.83333333,2017/18,2019/20,8
RR Raje,1,4,2,2,,,,1,0.5,2015/16,2015/16,2
RR Rathod,213,165,11,9,,1,2,51,23.66666667,2018/19,2020/21,11
RR Taylor,44,39,1,0,,,1,44,44,2015/16,2015/16,1
RS Jaganath Sinivas,31,18,2,0,,,1,31,15.5,2023/24,2023/24,2
RT Arothe,12,19,7,6,,,,5,2,2015/16,2019/20,7
RV Gomez,124,95,10,7,,,1,47,17.71428571,2015/16,2018/19,10
RV Uthappa,766,597,29,28,,6,3,91,27.35714286,2015/16,2021/22,29
Rachit Bhatia,1,5,1,1,,,,1,1,2018/19,2018/19,1
Rahil Shah,4,4,2,1,,,,4,4,2017/18,2021/22,2
Rahul Batham,34,34,2,2,,,1,32,17,2023/24,2023/24,2
Rahul Buddhi,237,189,15,11,,,2,38,21.54545455,2020/21,2023/24,15
Rahul Chahar,32,42,9,5,,,,8,6.4,2017/18,2022/23,9
Rahul Dalal,294,244,11,11,,2,2,75,26.72727273,2019/20,2020/21,11
Rahul Kumar,3,4,1,1,,,,3,3,2020/21,2020/21,1
Rahul Shukla,18,18,5,3,,,,11,6,2015/16,2019/20,5
Rahul Singh,613,421,24,18,,4,4,76,34.05555556,2017/18,2023/24,24
Rahul Tewatia,593,379,29,17,,1,8,59,34.88235294,2017/18,2023/24,29
Rajashekhar Harikant,75,80,10,6,,,,26,12.5,2015/16,2019/20,10
Rajat Dey,488,368,21,16,,2,5,82,30.5,2015/16,2023/24,21
Rajat Paliwal,521,452,27,22,,1,3,54,23.68181818,2015/16,2021/22,27
Rajat Patidar,982,697,30,28,,10,5,96,35.07142857,2017/18,2023/24,30
Rajendran Vivek,65,50,5,3,,,1,36,21.66666667,2018/19,2018/19,5
Rajesh Dhuper,392,390,19,17,,1,3,90,23.05882353,2017/18,2021/22,19
Rajesh Mohanty,69,71,7,6,,,1,36,11.5,2018/19,2020/21,7
Rajesh Tati,7,16,1,1,,,,7,7,2019/20,2019/20,1
Rajiv Darjee,4,10,1,0,,,,4,4,2020/21,2020/21,1
Rajjakuddin Ahmed,342,240,25,19,,,6,39,18,2017/18,2022/23,25
Rajvardhan Hangargekar,6,7,2,2,,,,6,3,2020/21,2020/21,2
Rakesh Kumar,0,5,2,2,,,,0,0,2020/21,2020/21,2
Rakesh Thakur,86,96,9,5,,,1,32,17.2,2020/21,2023/24,9
Rakshan Readdi,2,5,2,0,,,,2,1,2021/22,2022/23,2
Ram Dayal,28,47,6,5,,,,8,5.6,2017/18,2020/21,6
Ram Gurung,11,13,2,1,,,,7,11,2021/22,2023/24,2
Ramachandran Ragupathy,118,119,5,5,,,3,39,23.6,2021/22,2022/23,5
Ramandeep Singh,169,115,15,10,,,1,32,16.9,2020/21,2023/24,15
Rana Dutta,76,82,8,4,,,,18,19,2015/16,2022/23,8
Ranjeet Mali,1,4,2,2,,,,1,0.5,2015/16,2015/16,2
Ranjeet Nikam,55,56,6,6,,,,20,9.166666667,2020/21,2021/22,6
Ranjot Khaira,4,7,1,1,,,,4,4,2023/24,2023/24,1
Rasikh Salam,11,22,4,3,,,,4,3.666666667,2018/19,2023/24,4
Raushan Raj,23,23,3,1,,,,10,23,2015/16,2015/16,3
Ravi Bishnoi,31,36,7,7,,,,15,4.428571429,2018/19,2021/22,7
Ravi Chauhan,739,629,22,19,,8,2,86,38.89473684,2017/18,2021/22,22
Ravi Kiran,5,11,3,0,,,,3,1.666666667,2015/16,2019/20,3
Ravi Teja,155,130,16,14,,,1,31,11.07142857,2017/18,2022/23,16
Ravikumar Samarth,153,152,9,9,,,1,31,17,2015/16,2019/20,9
Ravikumar Thakur,2,3,1,0,,,,2,2,2015/16,2015/16,1
Reagan Pinto,17,35,3,3,,,,11,5.666666667,2015/16,2015/16,3
Remruatdika Ralte,11,19,4,3,,,,5,3.666666667,2022/23,2023/24,4
Rex Rajkumar,167,160,14,12,,,1,30,13.91666667,2019/20,2023/24,14
Ricky Bhui,926,613,28,21,2,4,8,108,44.0952381,2017/18,2023/24,28
Rinku Singh,900,584,34,25,,8,5,79,36,2017/18,2023/24,34
Rinzing Bhutia,16,14,1,0,,,,16,16,2018/19,2018/19,1
Ripal Patel,295,208,17,13,,,3,41,22.69230769,2019/20,2023/24,17
Rishabh Chouhan,225,195,16,13,,1,,63,17.30769231,2018/19,2023/24,16
Rishav,1,5,1,1,,,,1,1,2021/22,2021/22,1
Rishav Das,356,333,18,19,,2,3,56,18.73684211,2017/18,2023/24,18
Rishikesh Das,9,13,1,1,,,,9,9,2015/16,2015/16,1
