batsman,runs,ball,innings,dismissals,hundreds,fifties,thirties,highest_score,AVG,debut_year,final_year,matches
Saurabh Tiwary,656,527,31,21,,4,2,57,31.23809524,2015/16,2021/22,31
Saurabh Wakaskar,239,161,8,7,1,,1,118,34.14285714,2015/16,2017/18,8
Saurav Chauhan,242,212,13,10,,1,3,50,24.2,2021/22,2023/24,13
Sayan Ghosh,16,10,2,1,,,,8,16,2017/18,2017/18,2
Sayan Mondal,146,131,6,6,,2,,52,24.33333333,2015/16,2015/16,6
Sedezhalie Rupero,166,232,14,13,,,2,38,12.76923077,2018/19,2023/24,14
Shahbaz Ahmed,232,199,16,11,,1,1,60,21.09090909,2018/19,2023/24,16
Shahbaz Nadeem,66,67,8,7,,,,27,9.428571429,2015/16,2021/22,8
Shaik Rasheed,84,80,4,3,,,2,37,28,2022/23,2023/24,4
Shams Mulani,111,92,11,8,,1,,73,13.875,2018/19,2023/24,11
Shantanu Mishra,14,11,2,1,,,,8,14,2018/19,2020/21,2
Shanu Saini,2,4,1,0,,,,2,2,2020/21,2020/21,1
Sharad Lumba,134,103,8,8,,,1,31,16.75,2017/18,2019/20,8
Sharafuddeen,3,7,1,1,,,,3,3,2021/22,2021/22,1
Shashank Singh,58,55,6,5,,,,25,11.6,2015/16,2017/18,6
Shasheem Rathour,260,253,12,11,,2,2,60,23.63636364,2015/16,2020/21,12
Shashi Anand,0,4,1,1,,,,0,0,2021/22,2021/22,1
Shashi Shekhar,1,4,3,0,,,,1,0.333333333,2019/20,2019/20,3
Shashidhar Reddy,4,9,1,1,,,,4,4,2019/20,2019/20,1
Shashwat Kohli,51,70,7,8,,,,22,6.375,2019/20,2019/20,7
Shashwat Rawat,8,16,2,2,,,,8,4,2021/22,2021/22,2
Sheldon Jackson,1069,841,37,29,1,8,6,106,36.86206897,2015/16,2023/24,37
Shiva Chauhan,6,3,1,1,,,,6,6,2021/22,2021/22,1
Shiva Singh,635,568,28,28,,4,2,93,22.67857143,2015/16,2023/24,28
Shivalik Sharma,59,52,3,3,,,1,46,19.66666667,2023/24,2023/24,3
Shivam Bhambri,380,296,12,11,,3,2,75,34.54545455,2019/20,2021/22,12
Shivam Chaudhary,586,514,23,21,,4,5,84,27.9047619,2017/18,2023/24,23
Shivam Chauhan,627,518,22,21,,3,9,59,29.85714286,2017/18,2021/22,22
Shivam Dube,528,413,32,20,,1,2,63,26.4,2015/16,2023/24,32
Shivam Khurana,50,47,4,4,,,,29,12.5,2018/19,2018/19,4
Shivam Mavi,2,8,2,2,,,,1,1,2020/21,2021/22,2
Shivam Sharma,15,20,3,2,,,,12,7.5,2015/16,2021/22,3
Shivank Vashisth,12,23,3,2,,,,6,6,2021/22,2022/23,3
Shivendra Singh,6,6,1,1,,,,6,6,2019/20,2019/20,1
Shoaib Mohammed Khan,81,76,6,3,,,,26,27,2017/18,2022/23,6
Shreshth Nirmohi,1,2,1,0,,,,1,1,2019/20,2019/20,1
Shubham Chaubey,182,153,15,12,,,1,35,15.16666667,2015/16,2023/24,15
Shubham Dubey,181,151,9,8,,,1,38,22.625,2021/22,2022/23,9
Shubham Kamal Sharma,13,22,3,2,,,,5,6.5,2021/22,2021/22,3
Shubham Khajuria,322,282,19,16,,2,2,73,20.125,2015/16,2023/24,19
Shubham Kumar Singh,0,1,1,1,,,,0,0,2021/22,2021/22,1
Shubham Pundir,452,410,21,14,,2,3,68,32.28571429,2017/18,2023/24,21
Shubham Ranjane,256,228,12,9,,1,3,52,28.44444444,2018/19,2021/22,12
Shubham Sharma,518,441,26,26,,4,1,84,19.92307692,2015/16,2023/24,26
Shubhang Hegde,0,1,1,1,,,,0,0,2023/24,2023/24,1
Shubman Gill,635,468,18,16,1,3,5,126,39.6875,2018/19,2022/23,18
Sibsankar Roy,528,432,20,18,,4,4,83,29.33333333,2015/16,2023/24,20
Siddarth Kaul,12,13,5,4,,,,6,3,2015/16,2017/18,5
Siddhesh Wath,166,162,9,8,,,2,36,20.75,2020/21,2021/22,9
Sijomon Joseph,0,2,1,1,,,,0,0,2017/18,2017/18,1
Sinan Khadir,56,65,7,7,,,,17,8,2018/19,2018/19,7
Sirla Srinivas,105,94,6,5,,,,29,21,2015/16,2015/16,6
Sitesh Das,20,27,1,0,,,,20,20,2023/24,2023/24,1
Snehal Kauthankar,392,373,20,17,,2,3,57,23.05882353,2015/16,2022/23,20
Soaeb Tai,56,51,5,2,,,,26,28,2015/16,2017/18,5
Sohraab Dhaliwal,213,137,14,10,,,2,45,21.3,2015/16,2018/19,14
Somnath Soni,0,3,1,1,,,,0,0,2018/19,2018/19,1
Somorjit Salam,13,14,3,1,,,,12,13,2019/20,2021/22,3
Song Tacho,74,104,10,8,,,,26,9.25,2018/19,2021/22,10
Sonu Singh,2,4,1,1,,,,2,2,2019/20,2019/20,1
Soubhagya Rout,35,28,4,3,,,,12,11.66666667,2020/21,2021/22,4
Sourav Dey,0,1,1,1,,,,0,0,2023/24,2023/24,1
Srinivas Fadte,32,33,6,4,,,,15,8,2015/16,2017/18,6
Subham Ghosh,87,100,7,3,,,1,36,29,2020/21,2023/24,7
Subham Nayak,1,3,1,1,,,,1,1,2018/19,2018/19,1
Subhranshu Senapati,438,346,17,16,,2,6,64,27.375,2017/18,2021/22,17
Suboth Bhati,122,92,17,10,,,,26,12.2,2015/16,2021/22,17
Subramanian Anand,177,172,8,8,,,3,42,22.125,2019/20,2020/21,8
Sudip Chatterjee,399,358,21,18,,3,3,51,22.16666667,2015/16,2023/24,21
Sudip Kumar Gharami,1,6,1,1,,,,1,1,2023/24,2023/24,1
Sufiyan Alam,5,10,2,2,,,,3,2.5,2021/22,2021/22,2
Suheh Hussain,27,28,3,2,,,,18,13.5,2018/19,2018/19,3
Sujit Nayak,38,28,4,1,,,,17,38,2019/20,2020/21,4
Sukesh Heera,0,3,1,1,,,,0,0,2020/21,2020/21,1
Sumit Ghadigaonkar,80,59,2,2,,1,,75,40,2023/24,2023/24,2
Sumit Kumar,628,515,38,26,,1,5,63,24.15384615,2015/16,2023/24,38
Sumit Lama,14,28,4,2,,,,8,7,2019/20,2020/21,4
Sumit Singh,122,115,8,7,,,,24,17.42857143,2015/16,2021/22,8
Sunil Roul,0,2,2,2,,,,0,0,2020/21,2020/21,2
Sunil Yadav,8,10,2,2,,,,7,4,2021/22,2021/22,2
Sunny Gupta,0,4,1,1,,,,0,0,2017/18,2017/18,1
Sunny Kashyap,4,7,2,1,,,,3,4,2018/19,2018/19,2
Sunny Rana,2,10,4,4,,,,2,0.5,2018/19,2019/20,4
Supriyo Chakraborty,9,9,2,1,,,,8,9,2019/20,2019/20,2
Suraj Ahuja,72,66,8,4,,,,22,18,2021/22,2022/23,8
Suraj Kashyap,22,36,2,2,,,,17,11,2021/22,2021/22,2
Suraj Tayam,29,55,3,2,,,,17,14.5,2019/20,2021/22,3
Suresh Kumar,21,28,3,2,,,,16,10.5,2019/20,2019/20,3
Suryansh Raina,91,75,6,6,,,2,48,15.16666667,2018/19,2020/21,6
Suyash Prabhudessai,468,333,23,17,,1,7,60,27.52941176,2017/18,2023/24,23
Swarajeet Das,70,106,11,8,,,,23,8.75,2018/19,2019/20,11
Swarupam Purkayastha,90,124,13,12,,,,27,7.5,2015/16,2019/20,13
Swastik Samal,25,32,5,3,,,,11,8.333333333,2015/16,2018/19,5
Syed Sagar,8,20,4,5,,,,8,1.6,2015/16,2015/16,4
Sylvester Mylliempdah,33,56,2,2,,,,26,16.5,2023/24,2023/24,2
T Kohli,812,747,26,23,,6,4,90,35.30434783,2018/19,2022/23,26
T Mishra,55,60,6,6,,,,25,9.166666667,2019/20,2019/20,6
T Pradeep,158,100,10,8,,,3,36,19.75,2019/20,2021/22,10
T Tatar,0,1,1,1,,,,0,0,2021/22,2021/22,1
TM Srivastava,229,196,6,5,,2,2,67,45.8,2019/20,2019/20,6
TS Saha,17,32,4,4,,,,6,4.25,2018/19,2020/21,4
Tahmeed Rahman,18,41,10,5,,,,7,3.6,2018/19,2023/24,10
Tajinder Singh,223,147,11,9,,1,2,51,24.77777778,2017/18,2018/19,11
Takam Tallum,3,7,1,1,,,,3,3,2020/21,2020/21,1
Tana Davit,12,18,3,3,,,,6,4,2018/19,2018/19,3
Tanay Thyagarajan,111,90,10,7,,,,25,15.85714286,2017/18,2022/23,10
Tanmay Agarwal,1143,1003,36,53,,8,11,97,21.56603774,2015/16,2023/24,36
Tanush Gusain,7,10,1,1,,,,7,7,2021/22,2021/22,1
Tanush Kotian,51,41,4,2,,,,28,25.5,2021/22,2022/23,4
Tanveer Ul-Haq,38,53,8,4,,,,11,9.5,2015/16,2021/22,8
Tarang Gohel,143,83,6,5,,2,,51,28.6,2022/23,2023/24,6
Tarani Sa,0,4,1,1,,,,0,0,2020/21,2020/21,1
Taranjitsingh Dhillon,13,11,2,2,,,,11,6.5,2020/21,2020/21,2
Tashi Bhalla,17,22,3,3,,,,13,5.666666667,2018/19,2018/19,3
Techi Doria,242,316,16,16,,,2,43,15.125,2018/19,2023/24,16
Techi Neri,64,92,11,6,,,,26,10.66666667,2018/19,2023/24,11
Techi Sonam,4,16,3,3,,,,4,1.333333333,2021/22,2021/22,3
Tejas Patel,43,25,4,1,,,,22,43,2018/19,2021/22,4
Tejosel Yiethun,8,12,1,1,,,,8,8,2019/20,2019/20,1
Temjentoshi Jamir,2,6,1,1,,,,2,2,2019/20,2019/20,1
Thomas Moirangthem,4,11,3,1,,,,2,4,2019/20,2019/20,3
Tilak Varma,521,371,18,13,,6,2,75,40.07692308,2018/19,2023/24,18
Treyaksh Bali,49,51,6,6,,,,23,8.166666667,2018/19,2019/20,6
Tripurana Vijay,23,29,1,1,,,,23,23,2023/24,2023/24,1
Tukuna Sahoo,15,23,3,2,,,,6,7.5,2015/16,2015/16,3
Tunish Sawkar,72,56,5,2,,,,23,36,2022/23,2023/24,5
Tushar Deshpande,13,15,5,3,,,,5,4.333333333,2017/18,2022/23,5
Tushar Gill,16,18,1,1,,,,16,16,2019/20,2019/20,1
U Kaul,140,145,4,4,,1,2,69,35,2021/22,2021/22,4
U U Bose,434,382,24,24,,2,1,72,18.08333333,2015/16,2020/21,24
UBT Chand,516,409,20,17,1,2,5,103,30.35294118,2015/16,2018/19,20
UR Patel,112,95,5,2,,,2,33,56,2015/16,2015/16,5
UT Yadav,56,29,6,2,,,,26,28,2018/19,2022/23,6
Umang Kumar,92,69,4,2,,,2,35,46,2023/24,2023/24,4
Umang Sharma,264,176,11,9,,1,3,95,29.33333333,2015/16,2017/18,11
Umar Alam,9,15,2,1,,,,7,9,2015/16,2015/16,2
Umar Nazir,13,12,3,1,,,,9,13,2017/18,2020/21,3
Unnikrishnan Manukrishnan,44,29,5,1,,,,21,44,2015/16,2023/24,5
Upendra Yadav,765,661,37,27,,4,7,70,28.33333333,2015/16,2023/24,37
Utkarsh Singh,174,147,9,8,,,2,49,21.75,2018/19,2021/22,9
Uvais Ahmad,214,128,7,6,,2,,72,35.66666667,2019/20,2019/20,7
V Athisayaraj Davidson,1,1,1,0,,,,1,1,2017/18,2017/18,1
V Cheluvaraj,27,38,2,2,,,,17,13.5,2015/16,2015/16,2
V Dhaka,3,5,1,1,,,,3,3,2020/21,2020/21,1
V Sehwag,4,10,2,2,,,,3,2,2015/16,2015/16,2
V Tokas,3,6,2,1,,,,2,3,2017/18,2018/19,2
VA Jagadeesh,84,95,8,7,,,,28,12,2015/16,2015/16,8
VG Arora,2,2,1,0,,,,2,2,2022/23,2022/23,1
VH Zol,132,139,8,8,,,1,38,16.5,2017/18,2019/20,8
VR Aaron,14,44,5,4,,,,9,3.5,2015/16,2022/23,5
VS Kahlon,0,3,1,1,,,,0,0,2022/23,2022/23,1
VV Gite,8,3,1,0,,,,8,8,2019/20,2019/20,1
VV More,13,9,1,1,,,,13,13,2020/21,2020/21,1
Vaibhav Bhatt,2,4,1,1,,,,2,2,2021/22,2021/22,1
Vaibhav Govekar,32,22,2,2,,,1,32,16,2018/19,2020/21,2
Vaibhav Singh Panwar,180,174,9,6,,,3,49,30,2018/19,2019/20,9
Vaisakh Chandran,32,34,3,2,,,,18,16,2019/20,2020/21,3
Varun Choudhary,13,16,1,0,,,,13,13,2021/22,2021/22,1
Varun Nayanar,7,7,1,1,,,,7,7,2023/24,2023/24,1
Varun Sood,185,181,9,4,,1,1,60,46.25,2018/19,2020/21,9
Vasuki Koushik,7,11,4,1,,,,3,7,2018/19,2020/21,4
Venkatesh Iyer,846,631,31,21,,4,7,88,40.28571429,2015/16,2023/24,31
Vidwath Kaverappa,0,2,1,1,,,,0,0,2023/24,2023/24,1
Vidyadhar Patil,1,1,1,0,,,,1,1,2021/22,2021/22,1
Vijay Bharti,28,37,4,4,,,,24,7,2018/19,2019/20,4
Vijay Jethi,18,16,2,2,,,,18,9,2021/22,2021/22,2
Vijay Rao,3,5,2,2,,,,2,1.5,2021/22,2021/22,2
Vijay Shankar,718,583,27,26,,4,5,81,27.61538462,2015/16,2023/24,27
Vijay Sharma,119,115,10,6,,,1,30,19.83333333,2018/19,2022/23,10
Vijaykumar Vyshak,11,13,5,3,,,,4,3.666666667,2021/22,2023/24,5
Vikas Hathwala,364,322,22,15,,1,3,61,24.26666667,2015/16,2021/22,22
Vikas Mishra,1,1,1,0,,,,1,1,2019/20,2019/20,1
Vikas Singh,57,45,4,3,,,,29,19,2015/16,2015/16,4
Vikas Yadav,48,42,5,1,,,,22,48,2019/20,2021/22,5
Vikash Kumar,21,18,5,4,,,,15,5.25,2021/22,2023/24,5
Vikash Singh,48,43,5,4,,,,25,12,2015/16,2020/21,5
Vikash Vishal,21,24,1,1,,,,21,21,2020/21,2020/21,1
Vikash Yadav,14,15,1,1,,,,14,14,2020/21,2020/21,1
Viki Saha,7,12,3,1,,,,6,7,2015/16,2023/24,3
Vikrant Rajput,153,142,6,5,,,3,48,30.6,2019/20,2020/21,6
Vinod Kumar,5,6,2,0,,,,3,2.5,2017/18,2017/18,2
Vinoop Manoharan,131,129,8,9,,1,2,52,14.55555556,2015/16,2018/19,8
Vipin Dhaka,17,29,2,1,,,,9,17,2021/22,2021/22,2
Virat Singh,1236,981,36,28,1,8,9,103,44.14285714,2015/16,2021/22,36
Vishal Das,1,2,2,0,,,,1,0.5,2018/19,2018/19,2
Vishal Jayswal,12,12,3,2,,,,12,6,2022/23,2023/24,3
Vishnu Solanki,812,695,37,30,,3,6,71,27.06666667,2017/18,2023/24,37
Vishnu Vinod,768,548,27,20,,5,5,71,38.4,2017/18,2023/24,27
Vishvaraj Jadeja,300,255,17,13,,1,2,50,23.07692308,2017/18,2023/24,17
Vivek Kumar,32,28,7,5,,,,18,6.4,2018/19,2019/20,7
Vivek Singh,1056,792,42,37,,8,6,71,28.54054054,2015/16,2023/24,42
Vivekanand Tiwari,18,12,3,0,,,,14,6,2019/20,2021/22,3
Vivrant Sharma,61,73,7,5,,,,24,12.2,2015/16,2023/24,7
W Nongkhlaw,3,8,1,0,,,,3,3,2018/19,2018/19,1
WP Saha,561,444,24,22,1,3,2,129,25.5,2015/16,2023/24,24
Walter Toppo,8,8,1,1,,,,8,8,2020/21,2020/21,1
Waseem Raza,32,48,7,6,,,,11,5.333333333,2015/16,2017/18,7
Washington Sundar,576,501,25,23,,1,9,53,25.04347826,2017/18,2023/24,25
Wasiqur Rahman,95,115,15,11,,,,20,8.636363636,2015/16,2022/23,15
Writtick Chatterjee,209,162,11,8,,1,3,51,26.125,2017/18,2021/22,11
X Thalaivan Sargunam,103,139,6,6,,,,29,17.16666667,2018/19,2018/19,6
Y Nagar,91,102,6,6,,,1,44,15.16666667,2018/19,2018/19,6
YB Kothari,53,80,5,6,,,,25,8.833333333,2021/22,2022/23,5
YD Gardharia,0,1,1,1,,,,0,0,2018/19,2018/19,1
YK Pathan,354,357,23,17,,,3,47,20.82352941,2015/16,2019/20,23
YV Rathod,36,31,1,1,,,1,36,36,2020/21,2020/21,1
YV Takawale,69,87,6,6,,,1,31,11.5,2019/20,2019/20,6
YY Singh,13,12,1,1,,,,13,13,2022/23,2022/23,1
Yab Niya,12,41,5,2,,,,6,6,2019/20,2023/24,5
Yara Sandeep,1,2,1,1,,,,1,1,2023/24,2023/24,1
Yash Dayal,6,12,3,1,,,,4,6,2018/19,2019/20,3
Yash Dhull,231,223,8,5,,1,3,66,46.2,2022/23,2023/24,8
Yash Nahar,250,214,12,12,1,,2,103,20.83333333,2018/19,2021/22,12
Yash Thakur,23,37,7,1,,,,10,23,2018/19,2020/21,7
Yashasvi Jaiswal,349,280,16,14,,2,2,66,24.92857143,2020/21,2023/24,16
Yashaswi Rishav,48,59,3,2,,,1,35,24,2021/22,2022/23,3
Yashpal Singh,547,473,20,21,,4,6,63,26.04761905,2015/16,2019/20,20
Yashu Sharma,58,49,4,4,,,,26,14.5,2018/19,2020/21,4
Yogesh Sharma,1,1,1,0,,,,1,1,2022/23,2022/23,1
Yogesh Tiwari,63,74,4,4,,1,,53,15.75,2020/21,2021/22,4
Yudhvir Singh,662,597,20,27,,6,5,80,24.51851852,2015/16,2023/24,20
Yuvraj Chudasama,9,12,3,1,,,,8,9,2017/18,2017/18,3
Yuvraj Singh,338,319,18,16,,2,4,54,21.125,2015/16,2023/24,18
Yuzvendra Chahal,33,38,8,5,,,,12,6.6,2015/16,2021/22,8
Zafar Ali,71,58,5,5,,,1,36,14.2,2015/16,2015/16,5
Zahoor Sofi,20,36,4,3,,,,9,6.666666667,2015/16,2015/16,4
