player,batting_style,bowling_style,age,role,team
Atharva Taide,Left hand Bat,Slow Left arm Orthodox,23y 168d,Batting Allrounder (c),Vidarbha
Harsh Dubey,Left hand Bat,Slow Left arm Orthodox,21y 80d,Bowling Allrounder,Vidarbha
Aditya Sarwate,Right hand Bat,Slow Left arm Orthodox,33y 305d,Allrounder,Vidarbha
Saurabh Dubey,Right hand Bat,Left arm Medium fast,25y 261d,Bowler,Vidarbha
Akshay Karnewar,Left hand Bat,"Right arm Offbreak, Slow Left arm Orthodox",30y 364d,Bowler,Vidarbha
Darshan Nalkande,Right hand Bat,Right arm Fast medium,25y 7d,Bowler,Vidarbha
Nayan Chavan,Right hand Bat,Legbreak,23y 269d,Bowler,Vidarbha
Lalit Yadav,Right hand Bat,Right arm Medium fast,27y 298d,Bowler,Vidarbha
Mandar Mahale,Left hand Bat,Right arm Offbreak,22y 328d,Bowler,Vidarbha
Dipesh Parwani,Left hand Bat,Left arm Medium fast,23y 270d,Bowler,Vidarbha
